context_id,scheduled_window_start_utc,scheduled_window_end_utc,viewer_mode,vantage_id,feed_uri,bucket,cluster_text,riskset_size,context_total_y,shown_count,zero_exposure_count,gap_equal,gap_timing_residual
909,2026-03-22T16:30:00Z,2026-03-22T16:40:00Z,auth,auth,at://did:plc:4ohogodxdernofx3m6lhcd2a/app.bsky.feed.generator/aaanejfp2tgzs,popular_by_likecount,'zahlen: drei' #fotovorschlag,23,0.2,1,22,0.9565217391304347,0.736756835431516
176,2026-03-20T04:40:00Z,2026-03-20T04:50:00Z,unauth,unauth,at://did:plc:ujbv5agep7botiks7dozqbo3/app.bsky.feed.generator/aaajfu5lurq44,popular_by_likecount,commission,3,0.21533827903669653,1,2,0.6666666666666666,0.73184908132467
175,2026-03-20T04:30:00Z,2026-03-20T04:40:00Z,unauth,unauth,at://did:plc:ujbv5agep7botiks7dozqbo3/app.bsky.feed.generator/aaajfu5lurq44,popular_by_likecount,commission,3,0.21274605355336318,1,2,0.6666666666666666,0.7282822258030379
712,2026-03-22T03:10:00Z,2026-03-22T03:20:00Z,auth,auth,at://did:plc:5pry62n53okuska6b72tn3ga/app.bsky.feed.generator/aaafczzvnktbe,popular_by_likecount,elon musk visé par un signalement de la justice française aux autorités américaines,2,0.1781035935540111,1,1,0.5,0.726686271925026
52,2026-03-19T09:40:00Z,2026-03-19T09:50:00Z,auth,auth,at://did:plc:lyrmsmhhg7vzz4ghj44y5xzq/app.bsky.feed.generator/fa92779cd55e,longtail_random,"rumours that more military assistance earmarked to #ukraine in the last us defence budget, will now divert to the middle east. what next for the little criminal in #kiev?",2,0.26264953503719357,1,1,0.5,0.7257221273310894
809,2026-03-22T11:00:00Z,2026-03-22T11:10:00Z,unauth,unauth,at://did:plc:3sn6bogankaicebzdb7liro3/app.bsky.feed.generator/aaajaq4ut77am,popular_by_likecount,www.theguardian.com/us-news/2026...,6,0.25,1,5,0.8333333333333335,0.7207309558259989
1276,2026-03-24T00:10:00Z,2026-03-24T00:20:00Z,auth,auth,at://did:plc:lfdf4srj43iwdng7jn35tjsp/app.bsky.feed.generator/aaae2qpt4236c,popular_by_likecount,dua lipa,2,0.3333333333333333,1,1,0.5,0.7131974225448341
168,2026-03-20T03:50:00Z,2026-03-20T04:00:00Z,auth,auth,at://did:plc:ujbv5agep7botiks7dozqbo3/app.bsky.feed.generator/aaajfu5lurq44,popular_by_likecount,commission,3,0.21533827903669653,1,2,0.6666666666666666,0.7124459947585141
1975,2026-03-29T23:50:00Z,2026-03-30T00:00:00Z,auth,auth,at://did:plc:w4xbfzo7kqfes5zb7r6qv3rw/app.bsky.feed.generator/blacksky,popular_by_likecount,yes,5,0.1965616322328226,1,4,0.8,0.708208229557721
814,2026-03-22T11:10:00Z,2026-03-22T11:20:00Z,unauth,unauth,at://did:plc:rfmxqexkqlfx2lxvqroybspj/app.bsky.feed.generator/aaae7tqzlbyym,longtail_random,www.theguardian.com/us-news/2026...,6,0.5,1,5,0.8333333333333334,0.70744859882383
